Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Suggested_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices_Notes,Nurseries,PhotoCredit01,PhotoCredit02,PhotoCredit03,PhotoCredit04,Additional_Species_Cultivars_Varieties,Special_List,Habitat,Habitat_int,Thrifty150,Thrifty150_int,Sidewalk_Landscaping_Plants,Sidewalk_Landscaping_Plants_int,Super60,Super60_int,Top20,Top20_int,Shady_Clay,Shady_Clay_int,Sandy_Soil,Sandy_Soil_int
Rumex fueginus,Golden Dock,Polygonaceae,Rumex maritimus,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Wetland,Sun;Part Shade,Clay;Loam,,Moderate,Fruit;Pollinator,Butterflies,No,0,Garden,NA,NA,,,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Jorg Fleige (CC BY-NC 3.0),Joe F. Duft @ USDA-NRCS PLANTS Database / USDA NRCS. 1992.,Hella Delicious (CC BY-NC-SA 2.0),,,Yes,1,,,,,,,,,,,,
Rumex occidentalis,Western Dock,Polygonaceae,,Perennial,Spring;Summer,Burgundy,4-6 ft,SF Native ,Wetland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,,No data,No,0,Garden,NA,NA,,,©2012 Vernon Smith (CC BY-NC-ND 3.0),©2012 Vernon Smith (CC BY-NC-ND 3.0),Luke McGuff  (CC BY-ND 2.0),stonebird (CC BY-NC-SA 2.0),,,Yes,1,,,,,,,,,,,,
Salix lasiandra,Yellow Willow,Salicaceae,Salix lucida,Tree (deciduous),Spring,Yellow,> 24 ft,SF Native ,Riparian;Wetland;Woodland,Sun,Clay;Loam;Sand,,Moderate,Cover;Buds/greens;Cover;Pollinator,Bees;Insects,Yes,1,Garden,18,NA,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,,Matt Lavin (CC BY-SA 2.0),J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,Matt Lavin (CC BY-SA 2.0),,,Yes,1,,,,,,,,,,,,
Salix lasiolepis,Arroyo Willow,Salicaceae,,Tree (deciduous),Spring;Winter,Yellow,> 24 ft,SF Native ,Coastal scrub;Riparian;Wetland;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Low,Buds/greens;Pollinator,Bees;Birds;Butterflies;Insects,Yes,1,Garden,10,NA,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
Salix lutea,Yellow Willow,Salicaceae,,Shrub (deciduous),Spring,Yellow,13-24 ft,CA Native,Wetland;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,Pollinator,Bees;Butterflies,No,0,Garden,NA,NA,"Attracts Dreamy Duskywing (Erynnis icelus), Viceroy (Limenitis archippus), Lorquin's Admiral (Limenitis lorquini), Weidemeyer's Admiral (Limenitis weidemeyerii), Mourning Cloak (Nymphalis antiopa), Western Tiger Swallowtail (Papilio rutulus).",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",,,Yes,1,,,,,,,,,,,,
Salvia apiana,California White Sage,Lamiaceae,,Shrub (evergreen),Spring;Summer,White,4-6 ft,CA Native,Chaparral;Coastal scrub,Sun,Clay;Loam;Sand,,None,Pollinator,Bees;Birds;Butterflies,No,0,Garden;Sidewalk;Roof,NA,NA,,Oaktown;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;, ©2013 Keir Morse (CC BY-NC-SA 3.0),©2011 Wynn Anderson (CC BY-NC-SA 3.0),©2011 Wynn Anderson (CC BY-NC-SA 3.0),©2011 Wynn Anderson (CC BY-NC-SA 3.0),,,Yes,1,,,Yes,1,Y,1,,,,,,
Salvia clevelandii,Cleveland Sage,Lamiaceae,,Shrub (evergreen),Spring;Summer,Blue;Purple,4-6 ft,CA Native,Chaparral,Sun,Clay;Sand,,None,Pollinator;Cover,Bees;Butterflies;Hummingbirds,Yes,1,Garden;Sidewalk;Roof,3,NA,Very fragrant.,Oaktown;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,Yes,1,Y,1,,,,,,
Salvia leucophylla,Coast Purple Sage,Lamiaceae,,Shrub (evergreen),Spring,Purple,4-6 ft,CA Native,Coastal scrub;Chaparral,Sun,Clay;Loam;Sand;Rock,,None,Pollinator;Cover,Bees;Butterflies;Hummingbirds,Yes,1,Garden;Sidewalk;Roof,NA,NA,,Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,©2003 Brent Miller (CC BY-NC-SA 3.0),©2011 Jean Pawek ,©2005 Noah Elhardt (CC BY-NC-SA 3.0),©2003 Barry Breckling (CC BY-NC-SA 3.0),,,Yes,1,,,Yes,1,Y,1,,,,,,
Salvia sonomensis,Creeping Sage,Lamiaceae,,Perennial,Spring;Summer,White;Purple,4-6 ft,CA Native,Chaparral;Woodland,Sun,Clay;Sand,,None,Cover;Pollinator,Bees;Butterflies;Hummingbirds,No,0,Garden;Sidewalk;Roof,NA,NA,Attracts Anna's Hummingbird.,,©2009 Gary A. Monroe  (CC BY-NC 3.0),©2009 Gary A. Monroe  (CC BY-NC 3.0),©2009 Gary A. Monroe  (CC BY-NC 3.0),©2009 Gary A. Monroe  (CC BY-NC 3.0),,,Yes,1,,,Yes,1,,,,,,,,
Salvia spathacea,Hummingbird Sage,Lamiaceae,,Perennial,Spring;Summer;Winter,Pink,1-3 ft,SF Native ,Chaparral;Coastal scrub;Woodland,Sun;Part Shade,Clay;Loam;Sand;Rock,,None,Buds/greens;Cover;Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1,Garden;Sidewalk;Roof,3,NA,Attracts Anna's Hummingbird.,Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Gary A. Monroe (CC BY-NC 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0),,Sandy Soil;Top 20,Yes,1,,,Yes,1,Y,1,,1,,,Sandy Soil,1
Sambucus nigra ssp. cerulea,Blue Elderberry,Adoxaceae,Sambucus mexicana,Shrub (deciduous),Spring;Summer,White,13-24 ft,SF Native ,Coastal scrub;Riparian;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Low,Cover;Fruit;Pollinator;Nesting,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1,Garden,NA,NA,"Plant on the east side. Off-white flowers in spring, blue fruits in early summer. Attracts quail, thrashers, grosbeaks, woodpeckers, orioles, house finshes, and orange-crowned warblers.",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Watershed Nursery;,Thayne Tuason (CC BY-NC 2.0),Phuong Tran (CC BY-NC-ND 2.0),Phuong Tran (CC BY-NC-ND 2.0),Phuong Tran (CC BY-NC-ND 2.0),,,Yes,1,,,,,Y,1,,,,,,
Sambucus racemosa var. racemosa,Red Elderberry,Adoxaceae,,Shrub (deciduous),Summer,White,13-24 ft,SF Native ,Coastal scrub;Riparian;Woodland,Part shade;Shade,Loam;Clay,,Low,Fruit;Pollinator;Cover,Bees;Birds;Hummingbirds;Insects,No,0,Garden,4;8,NA,Plant on the west side.,,©2011 Jean Pawek,©2010 Keir Morse (CC BY-NC-SA 3.0),©2010 Keir Morse (CC BY-NC-SA 3.0),©2010 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,,,,,,,,
Schoenoplectus acutus var. occidentalis,Tule,Cyperaceae,Scirpus acutus,Perennial,Spring;Summer,Brown,4-6 ft,CA Native,Wetland,Sun,Loam;Sand,,Moderate,,No data,Yes,1,Garden,NA,NA,,,"© Br. Alfred Brousseau, Saint Mary's College",©2003 Keir Morse  (CC BY-NC-SA 3.0),©2013 Jean Pawek,©2013 Jean Pawek,,,Yes,1,,,,,,,,,,,,
Schoenoplectus californicus,California Bulrush,Cyperaceae,Scirpus californicus,Perennial,Spring,Brown,4-6 ft,SF Native ,Wetland,Sun,Loam;Sand,,Moderate,,No data,Yes,1,Garden,NA,NA,,,©2013 Zoya Akulova (CC BY-NC 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2013 Steven Thorsted (CC BY-NC 3.0),©2010 Steven Thorsted (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Schoenoplectus pungens var. badius,Common Threesquare,Cyperaceae,Scirpus americanus,Perennial,Spring;Summer,Burgundy,4-6 ft,SF Native ,Wetland,Sun,Clay;Loam;Sand,,Moderate,,No data,Yes,1,Garden,NA,NA,,,Max Licher (CC BY-SA),Max Licher (CC BY-SA),Max Licher (CC BY-SA),Jon Sullivan (CC BY-NC 2.0),,,Yes,1,,,,,,,,,,,,
Scrophularia californica,California Bee Plant,Scrophulariaceae,,Perennial,Spring;Winter,Burgundy,1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland;Dunes,Sun;Part Shade,Clay;Loam;Sand,,None,Pollinator,Bees;Birds;Butterflies;Hummingbirds,Yes,1,Garden;Roof,NA,NA,Attracts Variable Checkerspot (Euphydryas chalcedona) and Common Buckeye (Junonia coenia).,Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2013 Vernon Smith (CC BY-NC-ND 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),,Sandy Soil;Shady Clay;Top 20,Yes,1,,,Yes,1,Y,1,,1,Shady Clay,1,Sandy Soil,1
Sedum spathulifolium,Broadleaf Stonecrop,Crassulaceae,,Succulent,Spring;Summer,Yellow,< 1 ft,SF Native ,Coastal scrub;Woodland;Chaparral,Sun;Part Shade,Clay;Loam,,Low,Buds/greens;Cover,Butterflies;Insects,yes,1,Garden;Roof,14,NA,Needs water in winter / spring.,,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Barry Rice (CC BY-NC-SA 3.0),,,Yes,1,,,Yes,1,,,,,,,,
Senecio hydrophilus,Marsh Ragwort,Asteraceae,,Perennial,Spring;Summer,Yellow,4-6 ft,CA Native,Wetland;Woodland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,,No data,Yes,1,Garden,NA,NA,,,"© Br. Alfred Brousseau, Saint Mary's College",©1971 Dean Wm. Taylor (CC BY-NC-SA 3.0) ,Anthony Baniaga (public domain),©2010 Zoya Akulova (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Sequoia sempervirens,Redwood,Cupressaceae,,Tree (evergreen),Summer;Fall,Yellow,> 24 ft,CA Native,Woodland,Sun;Part Shade;Shade,Clay;Loam,,Moderate,Nesting,Birds;Butterflies,No,0,Garden,2,NA,,,©2012 Daniel Passarini (CC BY-NC-SA 3.0),©2013 Zoya Akulova (CC BY-NC 3.0),©2013 Zoya Akulova (CC BY-NC 3.0),©1975 Gary A. Monroe (CC BY-NC 3.0),,,Yes,1,,,,,,,,,,,,
Sisyrinchium bellum,Blue-eyed Grass,Iridaceae,,Perennial,Spring,Indigo,1-3 ft,SF Native ,Coastal scrub;Woodland;Grassland/prairie,Sun;Part Shade,Clay;Loam,,None,,No data,Yes,1,Garden;Roof,NA,NA,,Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2010 Barry Breckling (CC BY-NC-SA 3.0),©2010 Steven Thorsted (CC BY-NC 3.0),©2010 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,,,Y,1,,,,,,
Solidago californica,Goldenrod,Asteraceae,,Perennial,Summer;Fall,Yellow,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,Yes,1,Sidewalk;Garden,NA,NA,,Oaktown;Mission Blue;Bay Natives;East Bay Wilds;,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),,,Yes,1,,,Yes,1,Y,1,,,,,,
Solidago spathulata,Dune Goldenrod,Asteraceae,,Perennial,Spring;Summer;Fall,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Sun;Part Shade,Clay;Loam;Sand,,None,Buds/greens;Pollinator,Bees;Butterflies;Insects,Yes,1,Sidewalk;Garden,1,NA,Attracts Monarch Butterfly (Danaus plexippus).,Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,©2010 Zoya Akulova (CC BY-NC 3.0),©2012 Vernon Smith (CC BY-NC-ND 3.0),©2008 Jorg Fleige (CC BY-NC 3.0),©2008 Jorg Fleige (CC BY-NC 3.0),,Sandy Soil,Yes,1,,,Yes,1,Y,1,,,,,Sandy Soil,1
Stipa pulchra,Purple Needlegrass,Poaceae,Nassella pulchra,Grass,Spring,Purple;Yellow,1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,None,Nesting,Bees;Birds,Yes,1,Garden;Roof,7,NA,Indispensable.,Oaktown;Native Here;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;Sutro Stewards;Watershed Nursery;,©2013 Clint Scheuerman,©2012 Aaron Arthur,©2012 Aaron Arthur,©2013 Lynn Watson,,Top 20,Yes,1,Yes,1,,,Y,1,,1,,,,
Wyethia angustifolia,Narrowleaf Mule Ears,Asteraceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Chaparral;Grassland/prairie;Woodland,Sun;Part Shade,Clay;Loam,,None,Pollinator,Bees;Butterflies,No,0,Garden,NA,NA,Attracts endangered Fender’s Blue Butterfly.,Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;Watershed Nursery;,©2004 Carol W. Witham,©2011 Hattie Brown,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Zoya Akulova (CC BY-NC 3.0),,,Yes,1,,,,,Y,1,,,,,,
Thymus spp.,Thyme,Lamiaceae,,Perennial,,,1-3 ft,Exotic,,Sun,,,Low,Pollinator,Birds,,,Garden,NA,NA,,,©2007 Luigi Rignanese,©2007 Luigi Rignanese,,,,,Yes,1,Yes,1,,,,,,,,,,
Agrostis pallens,Bentgrass,Poaceae,,Grass,Spring,,1-3 ft,SF Native,Chaparral;Grassland/prairie;Woodland;Coastal scrub,Sun;Part Shade,Clay;Loam,,Low,,Birds;Butterflies,Yes,1,Garden;Roof,NA,NA,,,©2012 Vernon Smith,©2012 Vernon Smith,©2008 Keir Morse,©2008 Keir Morse,,,Yes,1,,,,,,,,,,,,
Artemisia douglasiana,Mugwort,Asteraceae,,Perennial,Summer;Fall,White,1-3 ft,SF Native,Chaparral;Woodland;Riparian;Coastal scrub;Wetland,Sun;Part Shade,Clay;Loam,,Low,,Birds;Butterflies,Yes,1,Garden;Roof,NA,NA,,,©2008 Keir Morse,©2008 Keir Morse,©2008 Keir Morse,©2014 Richard Spellenberg,,,Yes,1,,,,,Y,1,,,,,,
Carex barbarae,Santa Barbara sedge,Cyperaceae,,Grass,Summer,,1-3 ft,CA Native,Grassland/prairie;Woodland;Coastal scrub;Wetland,Sun;Part Shade,Clay;Loam;Sand,,Moderate,,Birds;Butterflies,Yes,1,Garden,NA,NA,Good ground cover,,©2012 Jake Ruygt,©2013 Robert Steers/NPS,©2012 Jake Ruygt,©2012 Jake Ruygt,,,Yes,1,,,,,,,,,,,,
Carpenteria californica,Bush Anemone,Hydrangeaceae,,Shrub (evergreen),Summer,White,4-6 ft,CA Native,,Sun;Part Shade,Loam;Sand,,Moderate,Pollinator;Cover,Bees:Birds;Butterflies;insects,Yes,1,Sidewalk;Garden,NA,NA,CNPS Rare Plant; State listed as Threatened,,©2007 Julie Kierstead Nelson,©2007 Julie Kierstead Nelson,©1999 California Academy of Sciences,©1998 Christopher L. Christie,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Cercocarpus betuloides,Mountain mahogany,Rosaceae,,Shrub (evergreen),Spring,Yellow,7-12 ft,CA Native,Chaparral;Woodland,Sun,Loam;Sand;Clay,,None,Cover,"Bees,Butterflies;Hummingbirds",Yes,1,Garden,NA,NA,,,©1999 California Academy of Sciences,©1999 California Academy of Sciences,©2001 Carol Mattsson,©2002 Lynn Watson,,,Yes,1,,,,,,,,,,,,
Narcissus hybrids,Daffodil or Narcissus,Amaryllidaceae,,Perennial,,White,1-3 ft,Exotic,,Sun;Part Shade,Sand;Loam,,None,,,,,Sidewalk;Garden,NA,NA,,,©2010 Ian Alexander Martin,©2012 Ian Alexander Martin,,,,,,,,,Yes,1,,,,,,,,
Dicentra formosa,Pacific bleeding heart,Papaveraceae,,Perennial,Spring,Pink,< 1 ft,CA Native,Riparian;Woodland,Part shade;Shade,Clay;Loam,,Moderate,Pollinator,Birds;Butterflies,Yes,1,Garden,NA,NA,Good ground cover,,©2005 Steve Matson,©2003 Christopher L. Christie,©2003 Christopher L. Christie,©1995 Saint Mary's College of California,,,Yes,1,,,,,,,,,,,,
Equisetum hyemale,Scouring Rush Horsetail,Equisetaceae,,Perennial,Spring,,1-3 ft,SF Native,Wetland; Riparian; Woodland,Part shade;Shade,Clay;Loam;Sand,,Moderate,,,Yes,1,Garden,NA,NA,Prefers moist soils,,©2010 Hans J. Koch,©2006 Louis-M. Landry,©2008 Dr. Amadej Trnkoczy,©2007 Louis-M. Landry,,,Yes,1,,,,,,,,,,,,
Gaultheria shallon,Salal,Ericaceae,,Shrub (evergreen),Spring,White;Pink,1-3 ft,SF Native,Wetland;Coastal scrub;Woodland,Part shade;Shade,Clay;Loam,,Low,Fruit,Birds;Butterflies,Yes,1,Garden,NA,NA,,,©2001 California Academy of Sciences,©1999 California Academy of Sciences,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,,Shady Clay,Yes,1,,,,,,,,,Shady Clay,1,,
Juglans hindsii,California black walnut,Juglandaceae,,Tree (deciduous),Spring,,> 24 ft,CA Native,Riparian;Woodland,Sun,Clay;Loam,,Low,Cover;Nesting,Birds,Yes,1,Garden,NA,NA,,,©2013 Steve Matson,©2011 Vernon Smith,©2015 Susan McDougall,©2015 Susan McDougall,,,Yes,1,,,,,,,,,,,,
Juncus patens,Spreading rush,Juncaceae,,Grass,Spring,Yellow,1-3 ft,SF Native,Riparian;Coastal scrub;Wetland,Sun;Part shade,Clay;Loam;Sand,,Low,,Birds,Yes,1,Garden;Sidewalk;Roof,NA,NA,,,©2008 Neal Kramer,©2013 Robert Steers/NPS,©2007 Neal Kramer,©2014 Mike Wood,,Shady Clay,Yes,1,,,Yes,1,,,,,Shady Clay,1,,
Melica imperfecta,Coast range melic,Poaceae,,Grass,Spring;Winter,,1-3 ft,SF Native,Chaparral;Coastal scrub;Woodland,Sun;Part shade,Clay;Loam;Sand,,None,,,Yes,1,Garden;Roof,NA,NA,,,©2009 Keir Morse,©2009 Keir Morse,©2009 Keir Morse,©2009 Keir Morse,,,Yes,1,,,,,,,,,,,,
Mimulus cardinalis,Scarlet monkeyflower,Phrymaceae,,Perennial,Spring;Summer,Red,1-3 ft,CA Native,Wetland;Riparian,Sun;Part shade,Clay;Loam,,Moderate,Pollinator,Hummingbirds;Butterflies,Yes,1,Garden,3,NA,,,©2002 Lynn Watson,©2001 Steve Schoenig,©2001 Steve Schoenig,©2003 George W. Hartwell,,,Yes,1,,,,,,,,,,,,
Mimulus guttatus,Creek monkeyflower,Phrymaceae,,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native,Riparian;Wetland,Sun;Part Shade;Shade,Clay;Loam,,Moderate,Pollinator,Hummingbirds;Butterflies,Yes,1,Garden,3,NA,Long blooming period,,©1995 Saint Mary's College of California,©2001 George W. Hartwell,©1995 Saint Mary's College of California,©2005 Jim Dunn,,,Yes,1,,,,,,,,,,,,
Oxalis oregana,Redwood sorrel,Oxalidaceae,,Perennial,Spring,Purple,1-3 ft,CA Native,Woodland,Shade,Loam;Clay,,Low,Pollinator,Bees;Butterflies,Yes,1,Garden,NA,NA,Great understory ground cover,,©1995 Saint Mary's College of California,©2001 California Academy of Sciences,©1999 California Academy of Sciences,©2003 James B. Gratiot,,,Yes,1,,,,,,,,,,,,
Panicum virgatum,Switchgrass,Poaceae,,Grass,Summer;Fall;Winter,,4-6 ft,CA Native,,Part Shade,Clay;Loam;Sand,,Moderate,,Birds,Yes,1,Garden,NA,NA,Seeds are good food source in winter,,©2010 Louis-M. Landry,©2010 Louis-M. Landry,© 2005 Brad Wold,© 2005 Brad Wold,,,Yes,1,,,,,,,,,,,,
Philadelphus lewisii,Native mock orange,Hydrangeaceae,,Shrub (deciduous),Spring;Summer,White,7-12 ft,CA Native,Woodland,Sun;Part shade,Clay;Loam,,Low,Cover;Pollinator,Bees;Birds;Butterflies,Yes,1,Garden,NA,NA,,,©1999 California Academy of Sciences,©2003 Christopher L. Christie,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,,,Yes,1,,,,,,,,,,,,
Physocarpus capitatus,Pacific ninebark,Rosaceae,,Shrub (deciduous),Spring;Summer,White,7-12 ft,CA Native,Riparian;Woodland,Sun;Part shade;Shade,Clay;Loam,,Low,Cover,Birds,Yes,1,Garden,NA,NA,,,©2006 Matt Below,©1998 California Academy of Sciences,©1999 California Academy of Sciences,©2005 John Pelafigue,,,Yes,1,,,,,,,,,,,,
Prosartes hookeri,Hooker's fairy bells,Liliaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native,Woodland,Part shade;Shade,Clay;Loam,,Low,,,Yes,1,Garden,NA,NA,,,©Margo Bors,©2008 Steve Matson,©2008 Jorg Fleige,©Margo Bors ,,,Yes,1,,,,,,,,,,,,
Quercus lobata,Valley oak,Fagaceae,,Tree (deciduous),Spring;Winter,,> 24 ft,CA Native,Riparian;Woodland,Sun,Clay;Loam,,Low,Cover,Hummingbirds;Butterflies,Yes,1,Garden,NA,NA,,,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,©2002 Timothy D. Ives, ©1999 California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Ribes menziesii,Canyon gooseberry,Grossulariaceae,,Shrub (deciduous),Spring;Winter,White,4-6 ft,CA Native,Chaparral;Woodland,Sun;Part shade,Clay;Loam,,None,Cover;Pollinator,Hummingbirds;Bees;Butterflies,Yes,1,Garden,3;20,NA,,,©2006 Steve Matson,©2012 Jean Pawek,©2012 Jean Pawek,©2013 Jean Pawek,,,Yes,1,,,,,,,,,,,,
Ribes speciosum,Fuchsia-flowered gooseberry,Grossulariaceae,,Shrub (evergreen),Spring;Winter,Red,7-12 ft,CA Native,Chaparral,Sun;Part shade,Clay;Loam,,None,Fruit;Cover;Pollinator,Bees;Birds;Small mammals,Yes,1,Garden,3;20,NA,,,©2004 Christopher L. Christie,©2004 Christopher L. Christie,©2005 Michael W. Tuma,©2004 Christopher L. Christie,,,Yes,1,,,,,,,,,,,,
Salix laevigata,Red willow,Salicaceae,,Tree (deciduous),Spring,,> 24 ft,CA Native,Riparian;Wetland,Sun;Part shade,Clay;Loam,,Moderate,Cover,Bees;Birds;Butterflies,Yes,1,Garden,NA,NA,,,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,,,Yes,1,,,,,,,,,,,,
Sisyrinchium californicum,Yellow-eyed grass,Iridaceae,,Perennial,Spring;Summer,Yellow,> 1 ft,SF Native,Riparian;Wetland,Sun;Part shade,Clay;Loam,,Moderate,Pollinator,"Hummingbirds,Butterflies",Yes,1,Garden,NA,NA,prefers moist conditions,,©2001 California Academy of Sciences,©1999 California Academy of Sciences,©2000 California Academy of Sciences,©1995 Saint Mary's College of California,,,Yes,1,,,,,,,,,,,,
Solanum umbelliferum,Nightshade,Solanaceae,,Perennial,Spring;Summer;Winter,Purple,1-3 ft,SF Native,Chaparral;Coastal Scrub;Woodland,Sun;Part shade,Clay;Loam,,None,Fruit;Pollinator,Bees;Birds;Butterflies,Yes,1,Garden,NA,NA,,,©2007 Neal Kramer,©2008 Ellen Tatum,©1995 Saint Mary's College of California,©1995 Saint Mary's College of California,,,Yes,1,,,,,,,,,,,,
Stipa lepida,Foothill needlegrass,Poaceae,,Grass,Spring,,1-3 ft,SF Native,Chaparral;Coastal Scrub;Grassland/prairie,Sun,Clay;Loam,,None,,Butterflies,Yes,1,Garden;Roof,NA,NA,Good ground cover,,©2013 Belinda Lo,©2011 Vernon Smith,©2009 Tom Cochrane,©2013 Belinda Lo,,,Yes,1,,,,,,,,,,,,
Umbellularia californica,California bay laurel,Lauraceae,,Tree (evergreen),Spring,Yellow,> 24 ft,SF Native,Chaparral;Woodland,Sun;Part shade;Shade,Clay;Loam,,None,Fruit;Cover,Birds,Yes,1,Garden,NA,NA,Attracts small mammals,,©2003 Michael Charters,©1999 California Academy of Sciences,©2001 Tony Morosco,©1999 California Academy of Sciences,,,Yes,1,,,,,,,,,,,,
Rosmarinus officinalis,Rosemary,Lamiaceae,,Shrub (evergreen),Spring;Summer,Blue,1-3 ft,Exotic,,Sun,Clay;Loam,,None,Pollinator,Bees;Butterflies,No,0,Sidewalk;Garden,NA,NA,Good ground cover,,©2004 Steve Matson,©2005 Luigi Rignanese,©2009 Neal Kramer,©2005 Luigi Rignanese,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Arabis blepharophylla,Rock rose cress,Brassicaceae,,Perennial,Spring,Purple;Pink,7-12 ft,SF Native,Coastal scrub,Part Shade,Clay;Loam,,Low,Pollinator;Cover,Butterflies,No,0,Sidewalk;Roof,NA,NA,Does well in a rock garden,,©1995 Saint Mary's College of California,©1996 Margo Bors,©2009 Larry Beckerman,©2008 Margo Bors,,,Yes,1,Yes,1,Yes,1,,,,,,,,
Triteleia laxa,Ithuriel's Spear,Themidaceae,,Perennial,Spring;Summer,Purple,1-3 ft,SF Native,Chaparral;Woodland;Grassland/prairie,Sun;Part shade,Clay;Loam,,None,Pollinator,Bees; Butterflies,No,0,Garden;Sidewalk;Roof,NA,NA,,,©2003 George W. Hartwell,©1995 Saint Mary's College of California,©1999 California Academy of Sciences,©1995 Saint Mary's College of California,,,Yes,1,,,Yes,1,,,,,,,,
Carex tumulicola,Berkley sedge,Cyperaceae,,Grass,Spring,,1-3 ft,SF Native,Woodland;Grassland/prairie;Coastal scrub,Part Shade,Clay;Loam,,Low,,Birds,Yes,1,Sidewalk;Garden,NA,NA,,, ©2002 Dean Wm. Taylor,©2015 Aaron Arthur,©2009 Chris Wagner,©2003 Steve Matson,,,Yes,1,,,Yes,1,,,,,,,,
